iterations,fitness,time,fevals
0,0.0251008966574,1.439929779,1000
10,0.0249815580819,2.920874821,2100
20,0.0243529656041,4.365727019,3200
30,0.0238401795594,5.877715268,4300
40,0.0243134137148,7.345561698,5400
50,0.0247192284672,8.815187366,6500
60,0.0261918983946,10.30146006,7600
70,0.0240571394916,11.811023246,8700
80,0.023993767782,13.272816591,9800
90,0.0244169229246,14.758842052,10900
100,0.0242583266073,16.271221814,12000
110,0.0242298935725,17.811258308,13100
120,0.0240314991375,19.298386107,14200
130,0.023309508071,20.727123429,15300
140,0.0245265270258,22.276531659,16400
150,0.0237300450425,23.753464327,17500
160,0.0248342188194,25.314395728,18600
170,0.0244628042844,27.047751343,19700
180,0.0233544412954,28.573287905,20800
190,0.0240363051023,30.351746009,21900
200,0.0248183455402,32.014322501,23000
210,0.0241033415729,33.501054819,24100
220,0.0237687080379,35.117110443,25200
230,0.0241067102208,37.101105934,26300
240,0.0248156026654,38.933572911,27400
250,0.0244847611751,41.83422912,28500
260,0.0240850334252,43.815176704,29600
270,0.0243297811601,45.314313941,30700
280,0.0254434819549,46.806148601,31800
290,0.0239787098346,48.326317624,32900
300,0.0240925061225,49.745437003,34000
310,0.0240376690136,51.328580875,35100
320,0.0239180702386,52.734183449,36200
330,0.0240387053741,54.352189455,37300
340,0.0232634766892,55.756971923,38400
350,0.0241478984166,57.281897534,39500
360,0.0252879566033,58.705465426,40600
370,0.0258705349567,60.154237514,41700
380,0.0254042301824,61.530489319,42800
390,0.0239256477901,62.892204178,43900
400,0.0245015125985,64.335848292,45000
410,0.0244755834084,65.747126335,46100
420,0.0242196887193,67.186784354,47200
430,0.0241298675629,68.630381028,48300
440,0.0240705220861,70.18270322,49400
450,0.0243769434769,71.627951941,50500
460,0.0253978717748,73.111288464,51600
470,0.02498435018,74.609610099,52700
480,0.0238897115918,76.097052404,53800
490,0.0250023260811,77.55946826,54900
500,0.024179714626,79.089201629,56000
510,0.0244940751389,80.786148775,57100
520,0.0231233067103,82.274457262,58200
530,0.0240477090642,84.079792046,59300
540,0.0234715593933,85.684071661,60400
550,0.0255377070406,87.200636931,61500
560,0.0239237145789,88.680991683,62600
570,0.024865628369,90.094246286,63700
580,0.024140637576,91.544798349,64800
590,0.0251914856237,93.032804208,65900
600,0.024282528744,94.610008509,67000
610,0.0234333137263,96.16511852,68100
620,0.0236183911561,97.755178807,69200
630,0.0240474651204,99.281090096,70300
640,0.0244863338138,100.696918247,71400
650,0.0234358503,102.196413971,72500
660,0.024756927039,103.632451007,73600
670,0.0247476389354,105.243261505,74700
680,0.0251385929665,106.595287339,75800
690,0.0248824792192,108.121592824,76900
700,0.0244788474666,109.674193137,78000
710,0.0259370622034,111.082924512,79100
720,0.0253765169944,112.429597092,80200
730,0.0237057919719,113.778981951,81300
740,0.0232994336157,115.149615265,82400
750,0.0237744587697,116.518394903,83500
760,0.0243177115151,117.868112082,84600
770,0.023897656924,119.220817558,85700
780,0.0248632066977,120.578190671,86800
790,0.0235433350769,121.919801136,87900
800,0.0257146960489,123.28031972,89000
810,0.0237811859283,124.658346004,90100
820,0.0247774797933,126.022488995,91200
830,0.0242247913603,127.382860765,92300
840,0.02423721781,128.738166319,93400
850,0.0239385412894,130.167604748,94500
860,0.0239825133626,131.525905347,95600
870,0.0241572523334,132.871174444,96700
880,0.0249155684169,134.221838702,97800
890,0.0239725689183,135.580382127,98900
900,0.0237200638428,136.932612841,100000
910,0.0253454838438,138.273427354,101100
920,0.024106865225,139.670539155,102200
930,0.0244760161817,141.049062119,103300
940,0.0244629196534,142.407593007,104400
950,0.0234821083462,143.769163935,105500
960,0.0230163966442,145.141823414,106600
970,0.0240377372214,146.491823581,107700
980,0.0238014823852,147.868835461,108800
990,0.0242344723317,149.25444778,109900
1000,0.0238851246533,150.703623849,111000
1010,0.0244047790904,152.187139838,112100
1020,0.0231538093767,153.582754645,113200
1030,0.0233893013053,155.054490275,114300
1040,0.0235792301557,156.477181429,115400
1050,0.0243732681067,157.892749164,116500
1060,0.023675824897,159.273950429,117600
1070,0.0238330858861,160.65725915,118700
1080,0.0256616643128,162.029695332,119800
1090,0.0235390857912,163.386154934,120900
1100,0.0238114434595,164.773505656,122000
1110,0.0239399458228,166.211387287,123100
1120,0.0243093743861,167.607557943,124200
1130,0.0241607085432,169.015653365,125300
1140,0.02385343791,170.446487962,126400
1150,0.0236819362352,172.048603739,127500
1160,0.0239276465825,173.569528461,128600
1170,0.0235879214325,174.989132647,129700
1180,0.0237668972559,176.403983604,130800
1190,0.0240513451122,177.809432585,131900
1200,0.0251833728221,179.222410168,133000
1210,0.024477496145,180.672524113,134100
1220,0.0239719478848,182.267983159,135200
1230,0.0231780856145,183.70198395,136300
1240,0.0246795451543,185.151987978,137400
1250,0.0240533762372,186.563013526,138500
1260,0.0242237160252,188.030480267,139600
1270,0.0236850463972,189.492460885,140700
1280,0.0241847998092,190.940641893,141800
1290,0.0246323178345,192.450736903,142900
1300,0.0240686888844,193.923608457,144000
1310,0.0243015244058,195.42098887,145100
1320,0.0245029068099,196.867372939,146200
1330,0.023475238059,198.333717489,147300
1340,0.0238292787708,199.783808276,148400
1350,0.0239966820409,201.262753012,149500
1360,0.0236135093957,202.69949173,150600
1370,0.0240905100166,204.193233705,151700
1380,0.0257318831726,205.618965952,152800
1390,0.0238175707213,207.054217455,153900
1400,0.0250203304077,208.599706892,155000
1410,0.0242326799761,210.040499265,156100
1420,0.0242825404055,211.493501131,157200
1430,0.0240824281758,212.917774601,158300
1440,0.0243886125658,214.393032854,159400
1450,0.0241163785106,215.948766351,160500
1460,0.0237208107679,217.436758125,161600
1470,0.023672693786,219.022035049,162700
1480,0.0240107697962,220.409667264,163800
1490,0.0260427889017,221.889591011,164900
1500,0.02476140472,223.378661119,166000
1510,0.0239432596432,224.821612659,167100
1520,0.0237464633539,226.277937733,168200
1530,0.0233391121564,227.690705511,169300
1540,0.0241304187765,229.144870306,170400
1550,0.0258478901827,230.621060863,171500
1560,0.0245842316012,232.052848694,172600
1570,0.024259385364,233.491762998,173700
1580,0.0241538408393,234.940866768,174800
1590,0.0239476014803,236.453701615,175900
1600,0.0246246825594,237.890955676,177000
1610,0.0235152032655,239.337074665,178100
1620,0.0249775599816,240.767567434,179200
1630,0.0236631194477,242.22105964,180300
1640,0.0238749218343,243.650238458,181400
1650,0.0234856806907,245.111215775,182500
1660,0.0250508261072,246.535709078,183600
1670,0.0233380982471,247.992960123,184700
1680,0.024096494785,249.608348883,185800
1690,0.0244234805139,251.49200074,186900
1700,0.0240023320628,253.312181993,188000
1710,0.0239521243783,254.854564029,189100
1720,0.0243202692131,256.372541254,190200
1730,0.0234023707365,257.914538657,191300
1740,0.0242412712551,259.400817424,192400
1750,0.0236640296205,261.004328413,193500
1760,0.023362173407,262.556138637,194600
1770,0.0250721678423,264.097935598,195700
1780,0.0247815968982,265.693060501,196800
1790,0.0250347852366,267.268448794,197900
1800,0.0240518882565,268.970428743,199000
1810,0.0253283215808,270.556916544,200100
1820,0.0250335451463,272.181070058,201200
1830,0.0230865655706,273.767173669,202300
1840,0.0234468605718,275.276134138,203400
1850,0.0238163124872,276.715812538,204500
1860,0.0260480775894,278.211429778,205600
1870,0.0246660196754,279.726790158,206700
1880,0.0239105839598,281.114865154,207800
1890,0.0238339688303,282.511244973,208900
1900,0.0242963417243,283.894788214,210000
1910,0.0238942477317,285.288682997,211100
1920,0.0250838965241,286.810708898,212200
1930,0.0241525293237,288.645563076,213300
1940,0.0247104101152,290.210462856,214400
1950,0.0249833186583,291.626255393,215500
1960,0.025761753986,293.016182916,216600
1970,0.0245088368478,294.399686509,217700
1980,0.0249823218563,295.789981486,218800
1990,0.0234734276421,297.155286726,219900
2000,0.0234772254102,298.544560823,221000
2010,0.0236251606395,299.952447638,222100
2020,0.0240133357666,301.318904812,223200
2030,0.0235606990288,302.691432622,224300
2040,0.0240050765797,304.064674197,225400
2050,0.023768448458,305.499068002,226500
2060,0.0234195239446,306.865507312,227600
