iterations,fitness,time,fevals
0,21.0,0.001279253,716
10,22.0,0.002197276,1360
20,26.0,0.00287148699999,1999
30,28.0,0.00347379799999,2635
40,24.0,0.004408629,3266
50,26.0,0.005292452,3889
60,26.0,0.005916084,4538
70,26.0,0.011841265,5162
80,27.0,0.012527764,5792
90,26.0,0.013353909,6429
100,27.0,0.013943044,7069
110,29.0,0.014553651,7707
120,28.0,0.015228551,8339
130,29.0,0.015895972,8964
140,29.0,0.016562981,9590
150,29.0,0.017170167,10224
160,30.0,0.021648406,10858
170,30.0,0.022405099,11469
180,31.0,0.023296844,12111
190,31.0,0.024217917,12738
200,31.0,0.024965091,13382
210,32.0,0.025793158,14002
220,31.0,0.026618046,14632
230,31.0,0.027570868,15264
240,32.0,0.028424696,15892
250,30.0,0.035848409,16525
260,33.0,0.036819362,17157
270,31.0,0.037760011,17797
280,32.0,0.038470563,18419
290,31.0,0.039313719,19049
300,32.0,0.039997455,19672
310,31.0,0.040876131,20306
320,31.0,0.041704686,20934
330,32.0,0.042401304,21561
340,31.0,0.044626949,22191
350,31.0,0.045221743,22829
360,32.0,0.04578546,23466
370,33.0,0.046737605,24093
380,33.0,0.047719952,24729
390,33.0,0.048386208,25357
400,36.0,0.049083773,25982
410,36.0,0.050096351,26604
420,35.0,0.050820067,27241
430,36.0,0.052874745,27864
440,36.0,0.053527296,28488
450,35.0,0.054085284,29117
460,36.0,0.054753684,29744
470,36.0,0.055330459,30377
480,36.0,0.055934168,31011
490,36.0,0.056544549,31636
500,36.0,0.057122877,32254
510,36.0,0.057999529,32888
520,36.0,0.069006339,33504
530,35.0,0.069708736,34134
540,35.0,0.070352365,34766
550,37.0,0.07097406,35389
560,36.0,0.071578658,36008
570,35.0,0.07218392,36650
580,35.0,0.072860498,37296
590,36.0,0.07379204,37927
600,36.0,0.074464595,38562
610,37.0,0.080490417,39185
620,37.0,0.081115339,39813
630,36.0,0.081880839,40444
640,36.0,0.08264793,41075
650,35.0,0.083326695,41710
660,36.0,0.083906239,42326
670,36.0,0.084458096,42962
680,35.0,0.085110083,43602
690,35.0,0.0860526849999,44226
700,36.0,0.0885771629999,44855
710,36.0,0.0892046409999,45479
720,36.0,0.0898417819999,46108
730,36.0,0.0904573249999,46737
740,36.0,0.0911653789999,47378
750,36.0,0.0917176979999,47996
760,37.0,0.0922725909999,48610
770,37.0,0.0932235679999,49234
780,37.0,0.0941267549999,49859
790,37.0,0.0963498349999,50498
800,36.0,0.0972558709999,51134
810,36.0,0.0999787699999,51765
820,36.0,0.100635102,52393
830,36.0,0.103105971,53023
840,36.0,0.103860966,53648
850,36.0,0.104403441,54274
860,36.0,0.105232651,54913
870,36.0,0.106063187,55547
880,36.0,0.109177305,56181
890,35.0,0.10994928,56811
900,36.0,0.110530313,57446
910,36.0,0.111043682,58084
920,36.0,0.11171499,58700
930,36.0,0.112415245,59342
940,36.0,0.113927826,59971
950,38.0,0.114718438,60605
960,37.0,0.115400447,61219
970,37.0,0.123594362,61847
980,36.0,0.124155214,62478
990,36.0,0.124832595,63119
1000,36.0,0.125463515,63742
1010,36.0,0.126103681,64384
1020,37.0,0.126695321,65005
1030,37.0,0.12741309,65633
1040,37.0,0.128099281,66267
1050,37.0,0.128618827,66904
1060,36.0,0.129424757,67540
1070,37.0,0.131670552,68169
1080,36.0,0.132491094,68799
1090,37.0,0.133321275,69433
1100,38.0,0.13386157,70063
1110,37.0,0.134606252,70704
1120,37.0,0.135400913,71338
1130,37.0,0.136293088,71978
1140,37.0,0.136968513,72602
1150,38.0,0.137544257,73227
1160,37.0,0.139973196,73862
1170,40.0,0.140604793,74490
1180,40.0,0.141126754,75106
1190,40.0,0.141654173,75730
1200,41.0,0.142187126,76358
1210,40.0,0.143051152,76982
1220,40.0,0.14375189,77606
1230,40.0,0.144269919,78227
1240,42.0,0.144969954,78855
1250,41.0,0.145681613,79496
1260,44.0,0.149682696,80125
1270,43.0,0.150277116,80756
1280,46.0,0.150818915,81387
1290,43.0,0.151341018,82037
1300,43.0,0.151889088,82680
1310,43.0,0.152415456,83309
1320,43.0,0.152921776,83951
1330,43.0,0.153528927,84586
1340,44.0,0.154116624,85213
1350,45.0,0.158054197,85837
1360,45.0,0.158876633,86473
1370,47.0,0.159590323,87092
1380,45.0,0.160158571,87718
1390,47.0,0.160991913,88350
1400,47.0,0.16155421,88984
1410,48.0,0.162118195,89609
1420,47.0,0.162605555,90235
1430,44.0,0.163126583,90871
1440,43.0,0.163669194,91507
1450,45.0,0.167428971,92137
1460,52.0,0.16834168,92770
1470,46.0,0.169404784,93397
1480,45.0,0.169992469,94031
1490,50.0,0.171730803,94663
1500,57.0,0.172404807,95300
1510,55.0,0.173302295,95931
1520,55.0,0.174267518,96566
1530,57.0,0.174843294,97201
1540,55.0,0.176840843,97839
1550,56.0,0.1775772,98472
1560,57.0,0.178283913,99100
1570,57.0,0.178857621,99731
1580,56.0,0.179430825,100358
1590,56.0,0.180022388,100978
1600,56.0,0.18066877,101605
1610,56.0,0.18121235,102232
1620,56.0,0.181800532,102855
1630,56.0,0.182384755,103485
1640,56.0,0.187384563,104118
1650,57.0,0.18816286,104748
1660,57.0,0.188753413,105385
1670,58.0,0.189301511,106041
1680,57.0,0.189812785,106663
1690,57.0,0.190357205,107297
1700,57.0,0.190862567,107923
1710,57.0,0.191367057,108539
1720,57.0,0.191922928,109164
1730,57.0,0.198669435,109793
1740,58.0,0.199200251,110419
1750,57.0,0.199890109,111061
1760,57.0,0.200576111,111700
1770,56.0,0.20512196,112337
1780,57.0,0.20572932,112981
1790,58.0,0.206300695,113618
1800,57.0,0.206945662,114262
1810,58.0,0.207624997,114893
1820,61.0,0.210923285,115529
1830,60.0,0.212962733,116156
1840,60.0,0.21368589,116771
1850,60.0,0.214339077,117399
1860,61.0,0.214877743,118029
1870,60.0,0.215977176,118646
1880,61.0,0.216859231,119277
1890,60.0,0.217705349,119912
1900,60.0,0.218424034,120526
1910,60.0,0.2192812,121153
1920,60.0,0.22710169,121787
1930,60.0,0.2278394,122416
1940,60.0,0.228476153,123037
1950,60.0,0.229152601,123682
1960,60.0,0.229812202,124300
1970,60.0,0.230463227,124928
1980,60.0,0.231008512,125562
1990,60.0,0.231622774,126190
2000,60.0,0.232214393,126805
2010,61.0,0.23408812,127445
2020,61.0,0.234602556,128070
2030,61.0,0.235164534,128698
2040,61.0,0.235679418,129330
2050,61.0,0.236209385,129958
2060,61.0,0.237067418,130589
2070,62.0,0.237605485,131208
2080,62.0,0.238106881,131837
2090,63.0,0.238624013,132464
2100,63.0,0.239198302,133098
2110,63.0,0.241353373,133724
2120,63.0,0.242103394,134350
2130,63.0,0.242763642,134978
2140,63.0,0.243950951,135604
2150,63.0,0.244899138,136237
2160,62.0,0.24551009,136866
2170,62.0,0.246180397,137476
2180,62.0,0.246785739,138100
2190,62.0,0.251518656,138718
2200,62.0,0.253280215,139342
2210,61.0,0.253841307,139972
2220,61.0,0.254392772,140601
2230,61.0,0.254966107,141249
2240,61.0,0.255676818,141876
2250,61.0,0.256288425,142516
2260,60.0,0.256899605,143152
2270,61.0,0.257530291,143777
2280,62.0,0.259602115,144410
2290,63.0,0.260136422,145035
