iterations,fitness,time,fevals
0,28.0,0.190766772,1000
10,35.0,0.3537876,2100
20,39.0,0.489510731,3200
30,45.0,0.622839201,4300
40,42.0,0.752376169,5400
50,39.0,0.862351226,6500
60,43.0,0.987343364,7600
70,40.0,1.100778819,8700
80,40.0,1.21580369,9800
90,40.0,1.345233308,10900
100,41.0,1.471730149,12000
110,41.0,1.612847399,13100
120,41.0,1.762071761,14200
130,44.0,1.886708736,15300
140,48.0,2.007000096,16400
150,52.0,2.131986234,17500
160,51.0,2.262278098,18600
170,49.0,2.393568783,19700
180,50.0,2.526316213,20800
190,52.0,2.652335758,21900
200,50.0,2.769756121,23000
210,50.0,2.876582917,24100
220,51.0,3.001310543,25200
230,53.0,3.122971633,26300
240,57.0,3.246895353,27400
250,53.0,3.370403292,28500
260,54.0,3.492482477,29600
270,54.0,3.610457629,30700
280,54.0,3.728284229,31800
290,52.0,3.849407871,32900
300,52.0,3.96771214,34000
310,52.0,4.102207668,35100
320,53.0,4.235523513,36200
330,54.0,4.378538067,37300
340,54.0,4.552959683,38400
350,56.0,4.679179318,39500
360,53.0,4.805090845,40600
370,56.0,4.931107459,41700
380,56.0,5.061801937,42800
390,58.0,5.197015836,43900
400,57.0,5.314788659,45000
410,59.0,5.438602431,46100
420,67.0,5.557866747,47200
430,73.0,5.676443198,48300
440,73.0,5.798083495,49400
450,73.0,5.917528938,50500
460,73.0,6.043577775,51600
470,73.0,6.177238696,52700
480,73.0,6.291263091,53800
490,73.0,6.415739472,54900
500,73.0,6.532081848,56000
510,67.0,6.644586494,57100
520,73.0,6.747343501,58200
530,73.0,6.856757797,59300
540,69.0,6.959284338,60400
550,69.0,7.07768918,61500
560,73.0,7.222023972,62600
570,73.0,7.364304432,63700
580,72.0,7.506767179,64800
590,73.0,7.659990815,65900
600,73.0,7.773899538,67000
610,73.0,7.883087466,68100
620,68.0,7.996372395,69200
630,68.0,8.105222057,70300
640,73.0,8.221929944,71400
650,73.0,8.335182081,72500
660,70.0,8.446176176,73600
670,70.0,8.563766306,74700
680,67.0,8.679001519,75800
690,73.0,8.792580894,76900
700,73.0,8.901453536,78000
710,70.0,9.013667897,79100
720,76.0,9.137639537,80200
730,72.0,9.255482504,81300
740,73.0,9.369427912,82400
750,73.0,9.483678575,83500
760,73.0,9.61172797,84600
770,73.0,9.721670474,85700
780,76.0,9.828869515,86800
790,69.0,9.941750694,87900
800,73.0,10.075750822,89000
810,70.0,10.202623916,90100
820,71.0,10.331978441,91200
830,70.0,10.449569065,92300
840,73.0,10.565976649,93400
850,73.0,10.682024822,94500
860,72.0,10.785303517,95600
