iterations,fitness,time,fevals
0,568.0,13.136305832,1000
10,605.0,25.560553359,2100
20,677.0,36.544936732,3200
30,705.0,46.738729989,4300
40,721.0,56.126158762,5400
50,723.0,65.450770788,6500
60,727.0,74.863958061,7600
70,725.0,83.770337255,8700
80,725.0,92.495010369,9800
90,725.0,100.794262366,10900
100,731.0,109.52734504,12000
110,737.0,119.006443125,13100
120,735.0,128.054121137,14200
130,737.0,137.181997713,15300
140,737.0,146.683165226,16400
150,737.0,156.060247106,17500
160,737.0,164.957805689,18600
170,735.0,173.579812326,19700
180,735.0,182.400830325,20800
190,735.0,191.083673067,21900
200,737.0,200.197933505,23000
210,737.0,209.014693922,24100
220,735.0,218.077114713,25200
230,735.0,226.894937436,26300
240,737.0,235.586400798,27400
250,735.0,244.602401178,28500
260,735.0,253.089166699,29600
270,735.0,262.22300452,30700
280,735.0,271.415811406,31800
290,735.0,280.767252827,32900
300,739.0,289.514439272,34000
310,737.0,298.279629924,35100
320,737.0,307.334538626,36200
330,741.0,316.352367109,37300
340,739.0,325.320037148,38400
350,739.0,334.134906082,39500
360,739.0,343.021999632,40600
370,741.0,351.571947943,41700
380,743.0,360.645962705,42800
390,745.0,369.455091467,43900
400,743.0,378.462579538,45000
410,745.0,387.341885634,46100
420,745.0,397.064097184,47200
430,745.0,405.783478809,48300
440,743.0,414.796760641,49400
450,745.0,424.032203497,50500
460,745.0,433.254724263,51600
470,745.0,442.556541531,52700
480,745.0,451.357646954,53800
490,747.0,460.585126784,54900
500,745.0,469.657250679,56000
510,745.0,478.559059192,57100
520,743.0,487.489838943,58200
530,745.0,496.552557646,59300
540,745.0,505.45168627,60400
550,745.0,514.392808929,61500
560,745.0,523.351269892,62600
570,749.0,532.397183465,63700
580,747.0,541.463859798,64800
590,747.0,550.113663751,65900
600,747.0,558.999171982,67000
610,747.0,568.138315713,68100
620,747.0,577.047812513,69200
630,749.0,586.146484555,70300
640,749.0,595.207245301,71400
650,751.0,604.181835754,72500
660,749.0,612.578910012,73600
670,749.0,621.146546419,74700
680,749.0,629.977457332,75800
690,749.0,638.89497719,76900
700,747.0,647.785074778,78000
710,749.0,656.527319375,79100
720,749.0,665.631196351,80200
730,751.0,674.655356437,81300
740,749.0,683.586437873,82400
750,753.0,692.344378142,83500
760,755.0,700.917920223,84600
770,753.0,709.562875675,85700
780,751.0,718.107135612,86800
790,753.0,727.070387984,87900
800,753.0,735.807203426,89000
810,753.0,744.489386613,90100
820,751.0,753.48038603,91200
830,753.0,762.393021774,92300
840,753.0,771.468536213,93400
850,753.0,780.096003487,94500
860,753.0,789.036193179,95600
870,753.0,797.575177753,96700
880,755.0,806.235872131,97800
890,755.0,814.884276599,98900
900,757.0,823.813474587,100000
910,755.0,832.86928492,101100
920,757.0,841.878689012,102200
930,755.0,850.695901377,103300
940,759.0,859.510053491,104400
950,757.0,868.620995281,105500
960,759.0,877.633014704,106600
970,759.0,886.380197196,107700
980,759.0,895.018371836,108800
990,757.0,904.278531735,109900
1000,759.0,912.8670823,111000
1010,757.0,921.839505048,112100
1020,759.0,930.614162975,113200
1030,761.0,939.472751886,114300
1040,759.0,948.300134598,115400
1050,759.0,957.354504018,116500
1060,759.0,966.269982804,117600
1070,759.0,975.354470906,118700
1080,759.0,984.377674055,119800
1090,757.0,993.080452482,120900
1100,761.0,1001.76015634,122000
1110,759.0,1010.69456193,123100
1120,759.0,1019.86352981,124200
1130,759.0,1028.79445334,125300
1140,759.0,1037.67415327,126400
1150,759.0,1046.47725447,127500
1160,759.0,1054.78527187,128600
1170,759.0,1063.41373874,129700
1180,759.0,1072.14382291,130800
1190,759.0,1081.07241742,131900
1200,759.0,1089.85139726,133000
1210,759.0,1098.55396079,134100
1220,759.0,1107.74665705,135200
1230,759.0,1116.70716963,136300
1240,759.0,1125.4356694,137400
1250,759.0,1134.10612295,138500
1260,759.0,1143.4031621,139600
1270,757.0,1152.45682617,140700
1280,759.0,1161.35320684,141800
1290,759.0,1169.91754718,142900
1300,761.0,1178.88901884,144000
1310,761.0,1187.49679437,145100
1320,759.0,1196.11217203,146200
1330,757.0,1204.96815329,147300
1340,759.0,1213.66033612,148400
1350,759.0,1222.3390775,149500
1360,761.0,1230.96693569,150600
1370,759.0,1239.60011301,151700
1380,761.0,1248.41074844,152800
1390,759.0,1257.26582657,153900
1400,763.0,1265.83176267,155000
1410,761.0,1274.52640541,156100
1420,763.0,1283.08849482,157200
1430,761.0,1291.76752845,158300
1440,761.0,1300.84712345,159400
1450,761.0,1309.74780529,160500
1460,759.0,1318.6830791,161600
1470,761.0,1327.63117503,162700
1480,761.0,1336.31113656,163800
1490,761.0,1345.21308762,164900
1500,761.0,1353.78019751,166000
1510,761.0,1362.48178297,167100
1520,759.0,1371.38121176,168200
1530,759.0,1380.34012559,169300
1540,763.0,1388.91503007,170400
1550,761.0,1397.95558473,171500
1560,761.0,1406.86139749,172600
1570,761.0,1415.96432627,173700
1580,765.0,1424.86888648,174800
1590,763.0,1433.94097501,175900
1600,763.0,1442.71789314,177000
1610,763.0,1451.26556623,178100
1620,763.0,1460.34021708,179200
1630,761.0,1469.16861107,180300
1640,761.0,1477.62256344,181400
1650,763.0,1486.20403214,182500
1660,763.0,1495.30422754,183600
1670,765.0,1504.2589938,184700
1680,761.0,1513.03339021,185800
1690,765.0,1521.68510586,186900
1700,763.0,1530.82718414,188000
1710,763.0,1539.51986747,189100
1720,763.0,1548.40163513,190200
1730,763.0,1557.42123822,191300
1740,763.0,1566.0402225,192400
1750,763.0,1574.61895751,193500
1760,763.0,1583.4194276,194600
1770,763.0,1592.37835133,195700
1780,765.0,1601.00489706,196800
1790,763.0,1609.81047537,197900
1800,763.0,1619.04362962,199000
1810,765.0,1627.82544983,200100
1820,763.0,1636.72289374,201200
1830,763.0,1645.28923782,202300
1840,765.0,1654.14132826,203400
1850,763.0,1662.67357237,204500
1860,763.0,1671.15051468,205600
1870,765.0,1680.02820016,206700
1880,765.0,1688.9051588,207800
1890,767.0,1697.59349219,208900
1900,765.0,1706.615631,210000
1910,765.0,1715.29985642,211100
1920,767.0,1724.13985699,212200
1930,769.0,1733.07827911,213300
1940,767.0,1742.20238827,214400
1950,767.0,1750.87871902,215500
1960,767.0,1759.70531156,216600
1970,767.0,1768.21521637,217700
1980,767.0,1777.10600669,218800
1990,767.0,1785.78095802,219900
2000,767.0,1794.64005283,221000
2010,768.0,1803.74241666,222100
2020,767.0,1812.21150258,223200
2030,769.0,1820.86760484,224300
2040,767.0,1830.07687,225400
2050,767.0,1838.70804577,226500
2060,767.0,1847.16505196,227600
2070,767.0,1855.97464763,228700
2080,769.0,1864.96028786,229800
2090,765.0,1873.5017244,230900
2100,767.0,1882.14348853,232000
2110,767.0,1891.24008913,233100
2120,767.0,1899.83043695,234200
2130,767.0,1908.78977265,235300
2140,769.0,1917.19627757,236400
2150,767.0,1925.94114001,237500
2160,767.0,1935.11182095,238600
2170,765.0,1943.91638349,239700
2180,765.0,1952.69095891,240800
2190,765.0,1961.42448041,241900
2200,765.0,1970.37829927,243000
2210,767.0,1979.31128162,244100
2220,767.0,1988.27087128,245200
2230,767.0,1996.88812225,246300
2240,769.0,2005.84732193,247400
2250,769.0,2014.49298535,248500
2260,769.0,2023.24962718,249600
2270,769.0,2031.96210352,250700
2280,767.0,2041.17839961,251800
2290,769.0,2049.86308701,252900
2300,769.0,2058.28876958,254000
2310,771.0,2067.15130203,255100
2320,771.0,2075.70180971,256200
2330,771.0,2084.45643954,257300
2340,769.0,2093.33752091,258400
2350,771.0,2102.01689195,259500
2360,771.0,2110.85658523,260600
2370,771.0,2119.64868719,261700
2380,771.0,2128.71364248,262800
2390,773.0,2137.56137974,263900
2400,773.0,2146.35605371,265000
2410,773.0,2155.13292825,266100
2420,773.0,2163.71403583,267200
2430,773.0,2172.54907727,268300
2440,773.0,2181.2354087,269400
2450,771.0,2189.89578824,270500
2460,773.0,2198.72452569,271600
2470,773.0,2207.33266723,272700
2480,773.0,2216.32396705,273800
2490,773.0,2224.88194059,274900
2500,775.0,2233.76507303,276000
2510,775.0,2242.27700241,277100
2520,775.0,2251.14584112,278200
2530,773.0,2259.99079931,279300
2540,775.0,2268.63690827,280400
2550,775.0,2277.39013045,281500
2560,775.0,2286.41235432,282600
2570,775.0,2295.30983402,283700
2580,775.0,2303.91295755,284800
2590,773.0,2312.7703019,285900
2600,775.0,2321.26025752,287000
2610,773.0,2329.9513559,288100
2620,775.0,2338.57399819,289200
2630,773.0,2347.66364751,290300
2640,775.0,2355.95224627,291400
2650,773.0,2364.55186394,292500
2660,773.0,2373.43208355,293600
2670,775.0,2382.02976251,294700
2680,775.0,2390.85308787,295800
2690,775.0,2399.53558302,296900
2700,775.0,2408.4495394,298000
2710,775.0,2417.3311027,299100
2720,773.0,2426.50584748,300200
2730,775.0,2434.83121431,301300
2740,775.0,2443.58893652,302400
2750,779.0,2452.47762109,303500
2760,775.0,2461.60150074,304600
2770,773.0,2470.14716778,305700
2780,773.0,2478.8722101,306800
2790,773.0,2487.6748187,307900
2800,775.0,2496.76075002,309000
2810,775.0,2505.66514312,310100
2820,775.0,2514.45359193,311200
2830,775.0,2523.36039425,312300
2840,775.0,2532.16170811,313400
2850,775.0,2541.06492584,314500
2860,777.0,2549.68095092,315600
2870,777.0,2558.44619432,316700
2880,775.0,2567.46561057,317800
2890,777.0,2576.45877751,318900
2900,775.0,2585.39911096,320000
2910,777.0,2594.34935768,321100
2920,775.0,2602.95977364,322200
2930,775.0,2612.04770744,323300
2940,777.0,2621.03383496,324400
2950,777.0,2629.88526882,325500
2960,775.0,2638.7739332,326600
2970,775.0,2647.48260922,327700
2980,777.0,2656.2628063,328800
2990,779.0,2664.73244853,329900
3000,777.0,2673.68054623,331000
