iterations,fitness,time,fevals
0,536.0,0.010022684,575
10,522.0,0.014269386,1065
20,519.0,0.020437654,1544
30,531.0,0.02642162,2029
40,534.0,0.029913165,2522
50,537.0,0.035761508,3010
60,538.0,0.043070257,3480
70,532.0,0.044732773,3971
80,530.0,0.052343196,4432
90,531.0,0.05867466,4910
100,529.0,0.061630132,5389
110,527.0,0.06468397,5864
120,528.0,0.068824294,6355
130,519.0,0.071606717,6830
140,524.0,0.079761293,7326
150,520.0,0.082815741,7800
160,524.0,0.085834373,8291
170,529.0,0.087485955,8782
180,526.0,0.094301059,9258
190,528.0,0.101186658,9741
200,525.0,0.107648071,10222
210,524.0,0.113494469,10705
220,522.0,0.116164387,11177
230,524.0,0.121637593,11651
240,514.0,0.127849669,12136
250,524.0,0.136039699,12616
260,526.0,0.142584496,13103
270,528.0,0.144472034,13592
280,524.0,0.147678596,14072
290,528.0,0.150442235,14555
300,532.0,0.157256164,15044
310,538.0,0.160153625,15527
320,538.0,0.163111853,16009
330,534.0,0.170917054,16497
340,532.0,0.17369085,16977
350,540.0,0.177464165,17456
360,538.0,0.179561646,17948
370,538.0,0.185403546,18443
380,542.0,0.193566928,18928
390,538.0,0.196880361,19425
400,543.0,0.202517421,19914
410,541.0,0.287195149,20390
420,541.0,0.290210325,20864
430,541.0,0.293533594,21354
440,544.0,0.301528492,21842
450,546.0,0.304936271,22334
460,546.0,0.306620636,22833
470,544.0,0.314062806,23319
480,544.0,0.320591064,23808
490,548.0,0.323820665,24290
500,550.0,0.32696991,24766
510,552.0,0.329798969,25245
520,552.0,0.339781814,25724
530,554.0,0.342544506,26219
540,548.0,0.347294905,26685
550,550.0,0.352348577,27156
560,550.0,0.355544496,27634
570,554.0,0.362220875,28119
580,550.0,0.367378206,28608
590,548.0,0.370953713,29098
600,548.0,0.378719865,29568
610,546.0,0.386576539,30050
620,552.0,0.389684127,30537
630,550.0,0.395891706,31013
640,552.0,0.404032773,31495
650,556.0,0.405885278,31984
660,550.0,0.41329958,32463
670,552.0,0.421622456,32939
680,552.0,0.424609595,33417
690,554.0,0.428813852,33905
700,556.0,0.431890716,34377
710,558.0,0.43884549,34848
720,558.0,0.441628928,35339
730,556.0,0.444435558,35817
740,554.0,0.451611434,36293
750,556.0,0.454671148,36783
760,550.0,0.459536202,37268
770,552.0,0.462442905,37741
780,554.0,0.465632876,38236
790,550.0,0.471435823,38720
800,554.0,0.479383831,39201
810,556.0,0.486215063,39686
820,556.0,0.490721309,40161
830,554.0,0.497498229,40655
840,554.0,0.500150695,41138
850,552.0,0.507559365,41613
860,558.0,0.516153703,42099
870,558.0,0.518969236,42586
880,560.0,0.523850249,43070
890,556.0,0.526916127,43547
900,558.0,0.530300369,44014
910,558.0,0.533524006,44500
920,562.0,0.539622436,44992
930,564.0,0.544041917,45469
940,566.0,0.548110364,45940
950,568.0,0.555262068,46425
960,562.0,0.56032033,46891
970,564.0,0.563421669,47367
980,562.0,0.567764693,47853
990,566.0,0.575878813,48344
1000,564.0,0.57873563,48828
1010,568.0,0.58443236,49312
1020,570.0,0.592701737,49795
1030,564.0,0.600107838,50267
1040,568.0,0.602145566,50749
1050,562.0,0.608967684,51239
1060,562.0,0.615552644,51723
1070,564.0,0.625606447,52190
1080,564.0,0.629174066,52672
1090,570.0,0.63184403,53164
1100,570.0,0.716290926,53647
1110,572.0,0.723541226,54142
1120,576.0,0.728194036,54625
1130,576.0,0.729880774,55104
1140,576.0,0.732625017,55583
1150,576.0,0.735742571,56059
1160,576.0,0.739234088,56542
1170,580.0,0.746544645,57016
1180,580.0,0.75323902,57500
1190,580.0,0.759386578,57974
1200,579.0,0.767533334,58466
1210,578.0,0.771411043,58940
1220,583.0,0.774613361,59404
1230,582.0,0.776279004,59885
1240,584.0,0.782089632,60370
1250,582.0,0.789579831,60852
1260,584.0,0.795436807,61328
1270,584.0,0.798132851,61819
1280,588.0,0.802762327,62300
1290,588.0,0.812388242,62789
1300,588.0,0.815494084,63278
