iterations,fitness,time,fevals
0,556.0,14.21084657,1000
10,573.0,27.564914247,2100
20,604.0,40.548729344,3200
30,628.0,53.320188308,4300
40,652.0,65.993129596,5400
50,668.0,78.538140483,6500
60,684.0,90.266916014,7600
70,688.0,101.909895226,8700
80,712.0,113.485207606,9800
90,714.0,125.019459807,10900
100,728.0,137.57682805,12000
110,734.0,149.585927014,13100
120,752.0,160.470177195,14200
130,762.0,171.308329424,15300
140,758.0,182.106633721,16400
150,754.0,193.003346664,17500
160,776.0,203.549109332,18600
170,776.0,214.567021983,19700
180,792.0,226.808615206,20800
190,790.0,238.336724306,21900
200,786.0,249.9629549,23000
210,784.0,260.920357943,24100
220,790.0,271.848782113,25200
230,776.0,282.620771034,26300
240,774.0,293.57550812,27400
250,774.0,304.88976932,28500
260,786.0,316.122622179,29600
270,780.0,327.401423678,30700
280,780.0,338.757968989,31800
290,788.0,349.875493826,32900
300,782.0,361.198218033,34000
310,772.0,371.76546525,35100
320,776.0,382.442551764,36200
330,784.0,393.136742079,37300
340,786.0,404.07023435,38400
350,784.0,415.262766738,39500
360,788.0,426.253871948,40600
370,774.0,437.09674089,41700
380,788.0,447.771009034,42800
390,788.0,458.655801717,43900
400,794.0,469.867698156,45000
410,778.0,480.435824195,46100
420,766.0,491.209008362,47200
430,780.0,501.96970412,48300
440,790.0,512.998627474,49400
450,778.0,524.117553753,50500
460,778.0,534.634014851,51600
470,794.0,545.278057635,52700
480,794.0,555.950150111,53800
490,786.0,566.551062004,54900
500,784.0,577.588756113,56000
510,784.0,588.387199561,57100
520,782.0,599.172586923,58200
530,780.0,610.017726324,59300
540,776.0,620.887574858,60400
550,794.0,631.96495423,61500
560,784.0,642.589469549,62600
570,786.0,653.100162281,63700
580,788.0,663.687934722,64800
590,792.0,674.798586747,65900
600,786.0,685.943655053,67000
610,790.0,696.630699462,68100
620,784.0,707.654749447,69200
630,790.0,719.542088077,70300
640,798.0,730.537249955,71400
650,796.0,741.713761731,72500
660,798.0,752.049331498,73600
670,805.0,762.793863614,74700
680,800.0,773.36107547,75800
690,796.0,784.132172505,76900
700,798.0,795.226396974,78000
710,805.0,805.646138374,79100
720,803.0,816.274784262,80200
730,796.0,826.822622144,81300
740,812.0,837.526995655,82400
750,804.0,848.627162948,83500
760,804.0,859.125376281,84600
770,812.0,869.492082273,85700
780,810.0,880.111869289,86800
790,822.0,890.844630751,87900
800,814.0,902.022738258,89000
810,792.0,912.586069794,90100
820,812.0,923.172667689,91200
830,802.0,933.74360731,92300
840,810.0,944.540747326,93400
850,800.0,955.493790533,94500
860,822.0,966.044141643,95600
870,816.0,976.47512839,96700
880,818.0,987.064531956,97800
890,811.0,997.915982187,98900
900,820.0,1008.94773962,100000
910,818.0,1019.37409504,101100
920,815.0,1030.25942494,102200
