iterations,fitness,time,fevals
0,551.0,12.995580699,1000
10,577.0,26.415860532,2100
20,625.0,38.254565086,3200
30,651.0,49.840747633,4300
40,687.0,60.932576785,5400
50,711.0,72.079257062,6500
60,723.0,83.040044147,7600
70,741.0,93.469630637,8700
80,747.0,104.587246092,9800
90,751.0,115.490048485,10900
100,759.0,127.590152626,12000
110,767.0,138.616700667,13100
120,761.0,148.987044675,14200
130,765.0,159.30111351,15300
140,761.0,169.762516031,16400
150,759.0,180.227692552,17500
160,763.0,190.945579255,18600
170,757.0,201.24485788,19700
180,761.0,211.414956013,20800
190,757.0,221.627171358,21900
200,757.0,232.239333969,23000
210,757.0,243.443006157,24100
220,763.0,253.658172479,25200
230,761.0,264.206729032,26300
240,767.0,274.73917823,27400
250,759.0,284.851521778,28500
260,759.0,295.573633866,29600
270,761.0,306.140703262,30700
280,769.0,316.921989319,31800
290,763.0,327.176168544,32900
300,761.0,337.769537828,34000
310,757.0,348.048845538,35100
320,761.0,358.725681611,36200
330,759.0,369.166100545,37300
340,767.0,379.804636936,38400
350,765.0,390.069434934,39500
360,767.0,400.773573416,40600
370,767.0,410.839459032,41700
380,765.0,421.320253571,42800
390,761.0,431.723853002,43900
400,763.0,441.971054194,45000
410,767.0,452.33472422,46100
420,772.0,463.10632676,47200
430,759.0,473.140711662,48300
440,763.0,483.431488672,49400
450,763.0,494.000219871,50500
460,765.0,504.13347764,51600
470,767.0,514.586954403,52700
480,769.0,525.032115235,53800
490,769.0,535.736404815,54900
500,761.0,546.0511883,56000
510,769.0,556.809545669,57100
520,769.0,566.998450724,58200
530,767.0,577.299652008,59300
540,767.0,587.570657272,60400
550,771.0,598.136838822,61500
560,773.0,608.388552867,62600
570,765.0,618.574856382,63700
580,769.0,628.868613418,64800
590,773.0,639.473591566,65900
600,769.0,650.059475796,67000
610,775.0,659.969571274,68100
620,771.0,670.088124578,69200
630,767.0,680.433047725,70300
640,775.0,690.619346436,71400
650,769.0,701.255769292,72500
660,769.0,711.300599288,73600
670,771.0,721.45973352,74700
680,769.0,731.914826957,75800
690,775.0,742.121817488,76900
700,769.0,752.549284749,78000
710,771.0,763.020246675,79100
720,773.0,777.161128323,80200
730,771.0,788.667047987,81300
740,773.0,800.8192548,82400
750,771.0,812.666253673,83500
760,767.0,824.755670749,84600
770,773.0,836.243869901,85700
780,773.0,848.144372211,86800
790,775.0,859.884159209,87900
800,775.0,871.933642837,89000
810,773.0,883.525323529,90100
820,772.0,895.664181493,91200
830,775.0,907.325873211,92300
840,775.0,918.935822019,93400
850,775.0,930.923457082,94500
860,775.0,942.961446245,95600
870,775.0,954.500307483,96700
880,775.0,966.612867644,97800
890,773.0,978.228959051,98900
900,777.0,989.882025176,100000
910,779.0,1001.10483414,101100
920,774.0,1011.72844048,102200
930,779.0,1021.6899374,103300
940,779.0,1032.87341902,104400
950,775.0,1043.55981702,105500
960,777.0,1053.699977,106600
970,773.0,1064.43925614,107700
980,769.0,1074.23393925,108800
990,769.0,1085.2790936,109900
1000,775.0,1095.15040545,111000
1010,775.0,1104.45170185,112100
1020,773.0,1113.9421148,113200
1030,779.0,1123.89258956,114300
1040,779.0,1133.2931473,115400
1050,771.0,1143.20915413,116500
1060,781.0,1153.36223081,117600
1070,783.0,1163.30746282,118700
1080,779.0,1172.65738546,119800
1090,777.0,1182.35124569,120900
1100,779.0,1191.83766679,122000
1110,783.0,1201.60331327,123100
1120,783.0,1210.96160389,124200
1130,781.0,1220.68314786,125300
1140,773.0,1230.50339444,126400
1150,779.0,1240.54089333,127500
1160,777.0,1249.92165616,128600
1170,777.0,1260.35604568,129700
1180,777.0,1270.87201103,130800
1190,781.0,1281.02464485,131900
1200,779.0,1291.30446169,133000
1210,777.0,1302.0426927,134100
1220,781.0,1311.99530963,135200
1230,783.0,1322.29300756,136300
1240,777.0,1332.91400735,137400
1250,777.0,1343.055227,138500
1260,783.0,1353.54321046,139600
1270,779.0,1363.89741151,140700
1280,781.0,1374.05059492,141800
1290,781.0,1384.44990444,142900
1300,783.0,1395.22677859,144000
1310,782.0,1405.28767581,145100
1320,787.0,1415.7847806,146200
1330,787.0,1426.01249231,147300
1340,783.0,1436.35928782,148400
1350,787.0,1447.39402385,149500
1360,779.0,1460.7328385,150600
1370,789.0,1471.26917977,151700
1380,787.0,1482.04417072,152800
1390,783.0,1491.83851364,153900
1400,785.0,1503.19466366,155000
1410,781.0,1513.87389651,156100
1420,783.0,1523.79174423,157200
1430,785.0,1534.80384345,158300
1440,791.0,1545.86078994,159400
1450,789.0,1557.16476944,160500
1460,787.0,1567.86208662,161600
1470,785.0,1577.72397551,162700
1480,787.0,1588.89118023,163800
1490,785.0,1599.62454716,164900
1500,785.0,1609.66007398,166000
1510,785.0,1620.51540605,167100
1520,783.0,1631.89500887,168200
1530,785.0,1642.56357295,169300
1540,787.0,1652.63485621,170400
1550,785.0,1663.37195285,171500
1560,791.0,1673.51105587,172600
1570,795.0,1684.40880835,173700
1580,793.0,1695.33021766,174800
1590,795.0,1706.48366177,175900
1600,781.0,1719.24959619,177000
1610,783.0,1730.14600543,178100
1620,789.0,1742.136443,179200
1630,793.0,1753.60797888,180300
1640,791.0,1765.786001,181400
1650,787.0,1777.19790112,182500
1660,787.0,1789.1028359,183600
1670,789.0,1800.97031323,184700
1680,793.0,1813.07074083,185800
1690,793.0,1825.0193245,186900
1700,789.0,1836.98204491,188000
1710,785.0,1848.54873806,189100
1720,789.0,1860.31874036,190200
1730,797.0,1872.02595273,191300
1740,797.0,1884.18545545,192400
1750,785.0,1895.57356054,193500
1760,793.0,1907.10276793,194600
1770,799.0,1919.13259499,195700
1780,795.0,1930.5583651,196800
1790,795.0,1942.48147505,197900
1800,789.0,1954.46942537,199000
1810,791.0,1966.72744488,200100
1820,789.0,1978.15913725,201200
1830,787.0,1990.09749742,202300
1840,789.0,2001.87344273,203400
1850,787.0,2015.30461536,204500
1860,791.0,2025.38851006,205600
1870,785.0,2035.9573787,206700
1880,793.0,2046.04282777,207800
1890,785.0,2056.22444173,208900
1900,789.0,2066.68474294,210000
1910,791.0,2077.33897842,211100
1920,787.0,2087.40472905,212200
1930,785.0,2097.78639415,213300
1940,797.0,2108.02379893,214400
1950,793.0,2118.30143156,215500
1960,793.0,2129.16014528,216600
1970,793.0,2139.12599044,217700
1980,793.0,2149.29925813,218800
1990,791.0,2159.99357289,219900
2000,799.0,2170.0731253,221000
2010,793.0,2180.58890247,222100
2020,793.0,2191.06982417,223200
2030,789.0,2201.78597405,224300
2040,789.0,2212.0756343,225400
2050,791.0,2222.4373627,226500
2060,791.0,2232.89653757,227600
2070,789.0,2243.77789453,228700
2080,787.0,2253.97196147,229800
2090,787.0,2264.6016625,230900
2100,785.0,2274.75901909,232000
2110,793.0,2285.4310311,233100
2120,791.0,2295.70394687,234200
2130,791.0,2306.0613349,235300
2140,789.0,2316.39453708,236400
2150,791.0,2326.88483692,237500
2160,795.0,2336.89477567,238600
2170,797.0,2347.55608247,239700
2180,789.0,2357.64817968,240800
2190,793.0,2367.80557624,241900
2200,797.0,2378.21758091,243000
2210,797.0,2388.86531935,244100
2220,797.0,2398.91357209,245200
2230,793.0,2409.19549217,246300
2240,795.0,2419.53953478,247400
2250,797.0,2429.91535282,248500
2260,791.0,2440.44852634,249600
2270,799.0,2450.68351939,250700
2280,797.0,2460.82206764,251800
2290,795.0,2471.24069932,252900
2300,793.0,2481.75437318,254000
2310,797.0,2491.67989453,255100
2320,797.0,2501.95757508,256200
2330,797.0,2512.28956794,257300
2340,797.0,2522.4843765,258400
2350,795.0,2532.86305559,259500
2360,802.0,2543.27802199,260600
2370,795.0,2554.12530862,261700
2380,801.0,2564.15896175,262800
2390,797.0,2574.74124949,263900
2400,797.0,2584.81172951,265000
2410,793.0,2595.12197051,266100
2420,797.0,2605.4655167,267200
2430,795.0,2616.06427292,268300
2440,791.0,2626.26833575,269400
2450,797.0,2636.3567518,270500
2460,791.0,2647.0648405,271600
2470,795.0,2657.13895836,272700
2480,799.0,2667.77544709,273800
2490,803.0,2677.9012886,274900
2500,799.0,2688.46735068,276000
2510,797.0,2698.60738503,277100
2520,799.0,2709.18441724,278200
2530,789.0,2719.48498725,279300
2540,795.0,2729.95178836,280400
2550,795.0,2740.2491917,281500
2560,801.0,2750.55284724,282600
2570,799.0,2760.89988019,283700
2580,791.0,2771.39111774,284800
2590,793.0,2781.52584859,285900
2600,793.0,2792.25850828,287000
2610,799.0,2802.39031851,288100
2620,795.0,2812.87286208,289200
2630,799.0,2823.08086771,290300
2640,797.0,2833.40053338,291400
2650,799.0,2843.57083608,292500
2660,793.0,2854.16377679,293600
2670,795.0,2864.24404505,294700
2680,795.0,2874.73406576,295800
2690,795.0,2884.9917515,296900
2700,795.0,2895.40040274,298000
2710,797.0,2905.69999193,299100
2720,797.0,2916.27419418,300200
2730,797.0,2926.33904106,301300
2740,799.0,2936.38077578,302400
2750,797.0,2946.96122512,303500
2760,801.0,2957.27414299,304600
2770,797.0,2967.63627384,305700
2780,803.0,2977.85638658,306800
2790,801.0,2988.45299539,307900
2800,805.0,2998.47259068,309000
2810,801.0,3008.81326837,310100
2820,803.0,3018.98323858,311200
2830,803.0,3029.62339076,312300
2840,801.0,3039.72413744,313400
2850,805.0,3050.08268137,314500
2860,805.0,3060.39149161,315600
2870,803.0,3070.73265313,316700
2880,811.0,3081.38381541,317800
2890,803.0,3091.45896783,318900
2900,807.0,3100.87083302,320000
2910,807.0,3110.59764909,321100
2920,797.0,3120.0499219,322200
2930,801.0,3129.88703608,323300
2940,803.0,3139.39471873,324400
2950,809.0,3148.95848811,325500
2960,807.0,3159.09401893,326600
2970,803.0,3169.81790035,327700
2980,807.0,3179.88360462,328800
2990,809.0,3189.88058003,329900
3000,803.0,3200.68774375,331000
